ItemID,Condition,Word,WordID,SurprisalGPT2,TargetRegion
3,b_imp,.,25,1.0278706550598145,gets sunburned
4,a_exp,George,1,10.177924398237888,started a diet
4,a_exp, was,2,5.058541297912598,started a diet
4,a_exp, discussing,3,8.755599975585938,started a diet
4,a_exp, food,4,8.528665542602539,started a diet
4,a_exp, habits,5,6.743634223937988,started a diet
4,a_exp, with,6,1.325107455253601,started a diet
4,a_exp, his,7,1.7048075199127197,started a diet
4,a_exp, cousin,8,4.3773932456970215,started a diet
4,a_exp, Tracy,9,8.396445274353027,started a diet
4,a_exp,.,10,1.8543908596038818,started a diet
4,a_exp, Tracy,11,1.9598547220230103,started a diet
4,a_exp, had,12,2.5429317951202393,started a diet
4,a_exp, decided,13,5.423603057861328,started a diet
4,a_exp, to,14,0.596824049949646,started a diet
4,a_exp, lose,15,6.623154163360596,started a diet
4,a_exp, weight,16,0.19132082164287567,started a diet
4,a_exp,.,17,2.7025527954101562,started a diet
4,a_exp, Therefore,18,7.105804920196533,started a diet
4,a_exp,",",19,0.25659382343292236,started a diet
4,a_exp, she,20,1.3019613027572632,started a diet
4,a_exp, started,21,3.631411552429199,started a diet
4,a_exp, a,22,3.4146814346313477,started a diet
4,a_exp, diet,23,1.9383540153503418,started a diet
4,a_exp, last,24,9.772313117980957,started a diet
4,a_exp, month,25,2.5249197483062744,started a diet
4,a_exp,.,26,0.8746247887611389,started a diet
4,a_imp,George,1,10.177924398237888,started a diet
4,a_imp, was,2,5.058541297912598,started a diet
4,a_imp, discussing,3,8.755599975585938,started a diet
4,a_imp, food,4,8.528665542602539,started a diet
4,a_imp, habits,5,6.743634223937988,started a diet
4,a_imp, with,6,1.325107455253601,started a diet
4,a_imp, his,7,1.7048075199127197,started a diet
4,a_imp, cousin,8,4.3773932456970215,started a diet
4,a_imp, Tracy,9,8.396445274353027,started a diet
4,a_imp,.,10,1.8543908596038818,started a diet
4,a_imp, Tracy,11,1.9598547220230103,started a diet
4,a_imp, had,12,2.5429317951202393,started a diet
4,a_imp, decided,13,5.423603057861328,started a diet
4,a_imp, to,14,0.596824049949646,started a diet
4,a_imp, lose,15,6.623154163360596,started a diet
4,a_imp, weight,16,0.19132082164287567,started a diet
4,a_imp,.,17,2.7025527954101562,started a diet
4,a_imp, She,18,2.104238986968994,started a diet
4,a_imp, started,19,4.563124656677246,started a diet
4,a_imp, a,20,4.00709867477417,started a diet
4,a_imp, diet,21,2.409687042236328,started a diet
4,a_imp, last,22,8.896080017089844,started a diet
4,a_imp, month,23,2.4195590019226074,started a diet
4,a_imp,.,24,1.4772309064865112,started a diet
4,b_exp,George,1,10.177924398237888,started a diet
4,b_exp, was,2,5.058541297912598,started a diet
4,b_exp, discussing,3,8.755599975585938,started a diet
4,b_exp, lifestyle,4,11.702066421508789,started a diet
